,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Series Publisher,CV Cover Image,CV Issue URL,Days Between Issues
547,Justice League Europe,1989.0,10,Issue,1990-01-01,Comicvine,4199,32294,Justice League Europe,1989,10,DC Comics, ,https://comicvine.gamespot.com/issue/4000-32294/,59 days 00:00:00
548,Atlantis Chronicles,1990.0,1,Issue,1990-03-01,Comicvine,4352,32476,The Atlantis Chronicles,1990,1,DC Comics, ,https://comicvine.gamespot.com/issue/4000-32476/,31 days 00:00:00
549,Atlantis Chronicles,1990.0,2,Issue,1990-04-01,Comicvine,4352,32585,The Atlantis Chronicles,1990,2,DC Comics, ,https://comicvine.gamespot.com/issue/4000-32585/,30 days 00:00:00
550,Atlantis Chronicles,1990.0,3,Issue,1990-05-01,Comicvine,4352,32684,The Atlantis Chronicles,1990,3,DC Comics, ,https://comicvine.gamespot.com/issue/4000-32684/,31 days 00:00:00
551,Atlantis Chronicles,1990.0,4,Issue,1990-06-01,Comicvine,4352,32787,The Atlantis Chronicles,1990,4,DC Comics, ,https://comicvine.gamespot.com/issue/4000-32787/,30 days 00:00:00
552,Atlantis Chronicles,1990.0,5,Issue,1990-07-01,Comicvine,4352,32914,The Atlantis Chronicles,1990,5,DC Comics, ,https://comicvine.gamespot.com/issue/4000-32914/,31 days 00:00:00
553,Atlantis Chronicles,1990.0,6,Issue,1990-08-01,Comicvine,4352,33030,The Atlantis Chronicles,1990,6,DC Comics, ,https://comicvine.gamespot.com/issue/4000-33030/,31 days 00:00:00
554,Atlantis Chronicles,1990.0,7,Issue,1990-09-01,Comicvine,4352,33149,The Atlantis Chronicles,1990,7,DC Comics, ,https://comicvine.gamespot.com/issue/4000-33149/,-304 days +00:00:00
555,Legion of Super-Heroes,1989.0,1,Issue,1989-11-01,Comicvine,4201,31834,Legion of Super-Heroes,1989,1,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31834/,30 days 00:00:00
556,Legion of Super-Heroes,1989.0,2,Issue,1989-12-01,Comicvine,4201,31967,Legion of Super-Heroes,1989,2,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31967/,31 days 00:00:00
557,Legion of Super-Heroes,1989.0,3,Issue,1990-01-01,Comicvine,4201,32295,Legion of Super-Heroes,1989,3,DC Comics, ,https://comicvine.gamespot.com/issue/4000-32295/,31 days 00:00:00
558,Legion of Super-Heroes,1989.0,4,Issue,1990-02-01,Comicvine,4201,32390,Legion of Super-Heroes,1989,4,DC Comics, ,https://comicvine.gamespot.com/issue/4000-32390/,28 days 00:00:00
559,Legion of Super-Heroes,1989.0,5,Issue,1990-03-01,Comicvine,4201,32492,Legion of Super-Heroes,1989,5,DC Comics, ,https://comicvine.gamespot.com/issue/4000-32492/,31 days 00:00:00
560,Legion of Super-Heroes,1989.0,6,Issue,1990-04-01,Comicvine,4201,32600,Legion of Super-Heroes,1989,6,DC Comics, ,https://comicvine.gamespot.com/issue/4000-32600/,30 days 00:00:00
561,Legion of Super-Heroes,1989.0,7,Issue,1990-05-01,Comicvine,4201,32700,Legion of Super-Heroes,1989,7,DC Comics, ,https://comicvine.gamespot.com/issue/4000-32700/,-212 days +00:00:00
562,The Question,1987.0,31,Issue,1989-10-01,Comicvine,3805,31729,The Question,1986,31,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31729/,31 days 00:00:00
563,The Question,1987.0,32,Issue,1989-11-01,Comicvine,3805,31837,The Question,1986,32,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31837/,30 days 00:00:00
564,The Question,1987.0,33,Issue,1989-12-01,Comicvine,3805,31969,The Question,1986,33,DC Comics, ,https://comicvine.gamespot.com/issue/4000-31969/,31 days 00:00:00
565,The Question,1987.0,34,Issue,1990-01-01,Comicvine,3805,32297,The Question,1986,34,DC Comics, ,https://comicvine.gamespot.com/issue/4000-32297/,59 days 00:00:00
566,The Question,1987.0,35,Issue,1990-03-01,Comicvine,3805,164711,The Question,1986,35,DC Comics, ,https://comicvine.gamespot.com/issue/4000-164711/,31 days 00:00:00
567,The Question,1987.0,36,Issue,1990-04-01,Comicvine,3805,32601,The Question,1986,36,DC Comics, ,https://comicvine.gamespot.com/issue/4000-32601/,23 days 00:00:00
568,Hellblazer,1988.0,28,Issue,1990-04-24,Comicvine,4008,32597,Hellblazer,1988,28,Vertigo, ,https://comicvine.gamespot.com/issue/4000-32597/,30 days 00:00:00
569,Hellblazer,1988.0,29,Issue,1990-05-24,Comicvine,4008,32697,Hellblazer,1988,29,Vertigo, ,https://comicvine.gamespot.com/issue/4000-32697/,31 days 00:00:00
570,Hellblazer,1988.0,30,Issue,1990-06-24,Comicvine,4008,32801,Hellblazer,1988,30,Vertigo, ,https://comicvine.gamespot.com/issue/4000-32801/,30 days 00:00:00
571,Hellblazer,1988.0,31,Issue,1990-07-24,Comicvine,4008,32929,Hellblazer,1988,31,Vertigo, ,https://comicvine.gamespot.com/issue/4000-32929/,31 days 00:00:00
572,Hellblazer,1988.0,32,Issue,1990-08-24,Comicvine,4008,33043,Hellblazer,1988,32,Vertigo, ,https://comicvine.gamespot.com/issue/4000-33043/,31 days 00:00:00
573,Hellblazer,1988.0,33,Issue,1990-09-24,Comicvine,4008,33160,Hellblazer,1988,33,Vertigo, ,https://comicvine.gamespot.com/issue/4000-33160/,-358 days +00:00:00
